"","X.1","X","filename","time","species","spatial_angle","tracker_id","tracker_length","detection_depth","detection_length","spatial_dist","spatial_speed","site","tide","tide_type","camera_location","spatial_angle_simple","sinuosity","distance_to_pipe"
"4244",0.0341361438383717,-0.0428871783463965,"C2_20210428_101112_D_Twin-82.mp4",0.47966258699693,"Moses Perch",0.390996541209905,"C2_20210428_101112_D_Twin-82.mp4_833",-1.04258561393859,-1.88467460800575,-1.31102370941161,0.000989187672375144,0.0298986518789605,"TWIN",0.919174395990899,"high","close","LEFT",1.1053230161247,-0.997201008981254
"4245",0.0352610086553382,-0.0378901323466836,"C5_20210429_120904_E_Twin-146.mp4",1.81143748766078,"Moses Perch",0.80338255345392,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,-0.244032078194639,1.99712907780914,-0.00293170787649001,0.0130103394238456,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4246",0.0353859936350012,-0.0378701441626847,"C5_20210429_120904_E_Twin-146.mp4",1.8114449916486,"Moses Perch",0.970807822908249,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,-0.220889513542392,1.9115311429295,0.371391921494894,0.416057731614121,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4247",0.0355109786146641,-0.0378501559786859,"C5_20210429_120904_E_Twin-146.mp4",1.81145260933317,"Moses Perch",0.663096207667186,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,-0.160140281330242,1.92887697995357,0.0165373156580071,0.0330046010402854,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4248",0.035635963594327,-0.037830167794687,"C5_20210429_120904_E_Twin-146.mp4",1.8114602270178,"Moses Perch",0.661814419978225,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,-0.0985645289519411,1.75428735947218,0.947248598087195,0.988824744628289,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4249",0.03576094857399,-0.0378101796106882,"C5_20210429_120904_E_Twin-146.mp4",1.81146784470243,"Moses Perch",0.621637226331723,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,-0.0621976416412665,1.71771026835621,0.316594972109606,0.341157255562411,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4250",0.0358859335536529,-0.0377901914266893,"C5_20210429_120904_E_Twin-146.mp4",1.81148296637482,"Moses Perch",0.391240598935904,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,0.0208676350569787,1.597797742842,0.366678241821278,0.39259167883729,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4251",0.0360109185333159,-0.0377702032426905,"C5_20210429_120904_E_Twin-146.mp4",1.81149058405945,"Moses Perch",0.545730050951917,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,0.0605406030322598,1.49937897190109,1.01016371859459,1.05343719819205,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4252",0.0361359035129788,-0.0377502150586916,"C5_20210429_120904_E_Twin-146.mp4",1.81149808804727,"Moses Perch",0.542756319822814,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,0.097734010509086,1.46091646371728,0.699546219302902,0.758171193750177,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4253",0.0362608884926418,-0.0377302268746928,"C5_20210429_120904_E_Twin-146.mp4",1.81150570573191,"Moses Perch",0.554406806863572,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,0.129968296989002,1.3655143600849,1.12426683906345,1.17061860885008,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4254",0.0363858734723047,-0.0377102386906939,"C5_20210429_120904_E_Twin-146.mp4",1.81151332341647,"Moses Perch",0.575153574856754,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,0.167161704465828,1.21241849417682,2.03040838094234,2.10120616593779,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4255",0.0365108584519676,-0.0376902505066951,"C5_20210429_120904_E_Twin-146.mp4",1.8115208274043,"Moses Perch",0.602104270244168,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,0.170467785130435,1.12908305977858,1.59094303460082,1.68748661840153,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4256",0.0366358434316306,-0.0376702623226962,"C5_20210429_120904_E_Twin-146.mp4",1.81152844508893,"Moses Perch",0.609641833319421,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,0.272129765567093,0.948837188093688,2.79373497210908,2.88512589029016,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4257",0.0367608284112935,-0.0376502741386974,"C5_20210429_120904_E_Twin-146.mp4",1.81153606277356,"Moses Perch",0.611880543255831,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,0.300231451216251,0.912637180391284,1.50769221010889,1.56438808401041,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4258",0.0368858133909565,-0.0376302859546985,"C5_20210429_120904_E_Twin-146.mp4",1.81154368045812,"Moses Perch",0.609430063535442,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,0.351888961600732,0.834580913782975,1.43789036502385,1.49270311483527,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4259",0.0370107983706194,-0.0376102977706997,"C5_20210429_120904_E_Twin-146.mp4",1.81155129814276,"Moses Perch",0.603513633595517,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,0.420903395474398,0.735785059428497,1.71783946549399,1.78020472189681,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4260",0.0371357833502824,-0.0375903095867008,"C5_20210429_120904_E_Twin-146.mp4",1.81155880213058,"Moses Perch",0.594942090979109,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,0.476280246606562,0.664893377677955,1.49442155610056,1.58685926900892,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4261",0.0372607683299453,-0.037570321402702,"C5_20210429_120904_E_Twin-146.mp4",1.81156641981521,"Moses Perch",0.586433666646157,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,0.542401859898697,0.574770441835512,1.64303208077355,1.70337917292711,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4262",0.0373857533096082,-0.0375503332187031,"C5_20210429_120904_E_Twin-146.mp4",1.81157403749978,"Moses Perch",0.579583636576162,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,0.588686989203192,0.50727251080707,1.36939660961499,1.42236152516537,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4263",0.0375107382892712,-0.0375303450347043,"C5_20210429_120904_E_Twin-146.mp4",1.8115815414876,"Moses Perch",0.566544182822508,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,0.651089261747645,0.445807914395697,1.27483207606503,1.35792880012455,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4264",0.0376357232689341,-0.0375103568507054,"C5_20210429_120904_E_Twin-146.mp4",1.81158915917223,"Moses Perch",0.562315101957677,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,0.709772193544415,0.346257893214085,1.58084733287351,1.63951679606662,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4265",0.0377607082485971,-0.0374903686667066,"C5_20210429_120904_E_Twin-146.mp4",1.81159677685686,"Moses Perch",0.56955758633903,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,0.725476076701297,0.282530796321311,1.13791853883789,1.18463860611989,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4266",0.03788569322826,-0.0374703804827077,"C5_20210429_120904_E_Twin-146.mp4",1.81160428084469,"Moses Perch",0.549773142672774,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,0.779199887501157,0.267824543192209,0.638982356528422,0.69503104013185,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4267",0.038010678207923,-0.0374503922987088,"C5_20210429_120904_E_Twin-146.mp4",1.81161201222606,"Moses Perch",0.545536651638767,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,0.808954613482618,0.208622447262236,0.673120074695443,0.68466645085486,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4268",0.0381356631875859,-0.03743040411471,"C5_20210429_120904_E_Twin-146.mp4",1.81161951621388,"Moses Perch",0.549535232989837,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,0.838296079381003,0.145649517196595,0.74292939583594,0.803399821933059,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4269",0.0382606481672488,-0.0374104159307111,"C5_20210429_120904_E_Twin-146.mp4",1.81162713389852,"Moses Perch",0.559224664721901,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,0.866811025113237,0.074380752032487,0.870123478643671,0.909618932758968,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4270",0.0383856331469118,-0.0373904277467123,"C5_20210429_120904_E_Twin-146.mp4",1.81163475158308,"Moses Perch",0.580980830309208,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,0.89036684984856,-0.0530734417530611,1.5652471708985,1.62349577070628,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4271",0.0385106181265747,-0.0373704395627134,"C5_20210429_120904_E_Twin-146.mp4",1.8116422555709,"Moses Perch",0.600559243722611,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,0.901938132174684,-0.0937984504182659,0.877512242198554,0.943707609521991,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4272",0.0386356031062377,-0.0373504513787146,"C5_20210429_120904_E_Twin-146.mp4",1.81164987325554,"Moses Perch",0.614181685922993,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,0.92425417666078,-0.147344295144739,0.714961761108151,0.750271240371391,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4273",0.0387605880859006,-0.0373304631947157,"C5_20210429_120904_E_Twin-146.mp4",1.81165749094017,"Moses Perch",0.631236156948618,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,0.939958059817662,-0.220498477376681,0.841735599015931,0.880465200882922,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4274",0.0388855730655636,-0.0373104750107169,"C5_20210429_120904_E_Twin-146.mp4",1.81166510862473,"Moses Perch",0.646377689705892,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,0.958554763556075,-0.287242241577988,0.839095504400341,0.877753881419838,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4275",0.0390105580452265,-0.037290486826718,"C5_20210429_120904_E_Twin-146.mp4",1.81167261261256,"Moses Perch",0.666397892589322,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,0.963100624469909,-0.344181837026562,0.68998803677198,0.748206421265943,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4276",0.0391355430248894,-0.0372704986427192,"C5_20210429_120904_E_Twin-146.mp4",1.81168023029719,"Moses Perch",0.68473219955034,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,0.980457547959095,-0.441469357726773,1.12162313955889,1.16790358724483,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4277",0.0392605280045524,-0.0372505104587203,"C5_20210429_120904_E_Twin-146.mp4",1.81168784798182,"Moses Perch",0.698741452711985,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,1.00153381219596,-0.526313125779282,1.19692806245291,1.24524009704364,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4278",0.0393855129842153,-0.0372305222747215,"C5_20210429_120904_E_Twin-146.mp4",1.81169535196965,"Moses Perch",0.716862170785889,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,1.0077327134421,-0.615681894794593,1.26174986433661,1.34429009181964,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4279",0.0395104979638783,-0.0372105340907226,"C5_20210429_120904_E_Twin-146.mp4",1.81170296965421,"Moses Perch",0.73126869193962,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,1.02178355626668,-0.686950659958701,1.09126841860245,1.13672995231538,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4280",0.0396354829435412,-0.0371905459067238,"C5_20210429_120904_E_Twin-146.mp4",1.81171058733884,"Moses Perch",0.745627399810551,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,1.02674267726359,-0.731069419346006,0.667627887131932,0.701660386420598,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4281",0.0397604679232042,-0.0371705577227249,"C5_20210429_120904_E_Twin-146.mp4",1.81171809132667,"Moses Perch",0.755351803315891,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,1.045339381002,-0.814404853744249,0.946275239067068,1.01539567541867,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4282",0.0398854529028671,-0.0371505695387261,"C5_20210429_120904_E_Twin-146.mp4",1.8117257090113,"Moses Perch",0.75697737985853,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,1.06889520573733,-0.870213198952122,0.77442599906431,0.811339712984363,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4283",0.04001043788253,-0.0371305813547272,"C5_20210429_120904_E_Twin-146.mp4",1.81173332669586,"Moses Perch",0.759305324884372,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,1.07798692756499,-0.905659039827393,0.413580931339787,0.440759715774836,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4284",0.040135422862193,-0.0371105931707284,"C5_20210429_120904_E_Twin-146.mp4",1.81174083068369,"Moses Perch",0.762280635187945,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,1.0916245103065,-0.959204884553866,0.457290091842756,0.505609874143292,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4285",0.0402604078418559,-0.0370906049867295,"C5_20210429_120904_E_Twin-146.mp4",1.81174856206513,"Moses Perch",0.774090022627853,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,1.09038473005727,-0.99766739273767,0.270538197725357,0.277303703832737,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
"4286",0.0403853928215189,-0.0370706168027307,"C5_20210429_120904_E_Twin-146.mp4",1.81175606605295,"Moses Perch",0.773871800621475,"C5_20210429_120904_E_Twin-146.mp4_106",-0.312225862498298,1.10195601238339,-1.01388197952104,-0.0605858697503244,-0.0342957110070949,"TWIN",0.196400980041479,"high","middle","LEFT",-0.833784277063289,0.0669813670765832
